"Year","Allele_Frequency"
2020,0.1
2021,0.1
2022,0.1
2023,0.11
2024,0.11
2025,0.12
2026,0.11
2027,0.12
2028,0.12
2029,0.12
2030,0.12
2031,0.13
2032,0.12
2033,0.13
2034,0.13
2035,0.13
2036,0.13
2037,0.13
2038,0.14
2039,0.13
2040,0.15
2041,0.14
2042,0.14
2043,0.14
2044,0.14
2045,0.14
2046,0.16
2047,0.15
2048,0.15
2049,0.16
2050,0.15
2051,0.17
2052,0.17
2053,0.17
2054,0.17
2055,0.18
2056,0.17
2057,0.17
2058,0.17
2059,0.17
2060,0.18
2061,0.19
2062,0.18
2063,0.18
2064,0.19
2065,0.19
2066,0.19
2067,0.2
2068,0.2
2069,0.21
2070,0.21
2071,0.2
2072,0.21
2073,0.2
2074,0.21
2075,0.2
2076,0.21
2077,0.22
2078,0.21
2079,0.22
2080,0.22
2081,0.22
2082,0.23
2083,0.22
2084,0.23
2085,0.23
2086,0.23
2087,0.23
2088,0.23
2089,0.24
2090,0.24
2091,0.25
2092,0.25
2093,0.24
2094,0.25
2095,0.25
2096,0.25
2097,0.27
2098,0.26
2099,0.25
2100,0.25
2101,0.27
2102,0.26
2103,0.27
2104,0.26
2105,0.28
2106,0.26
2107,0.28
2108,0.28
2109,0.27
2110,0.29
2111,0.29
2112,0.28
2113,0.29
2114,0.28
2115,0.3
2116,0.28
2117,0.29
2118,0.3
2119,0.29
2120,0.29
